Dự án/ khu,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Số phòng ngủ,Số toilet,dudoan_RF,Mã quận huyện,Mã xã phường,Mã đường phố,Mã dự án
Le Grand Jardin Sài Đồng,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,65.0,2.5,2.0,1.933083511777302,2.4260999999999995,9,95,52,245
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,118.0,3.3,3.0,2.0,3.531621372687769,11,56,115,140
Không có,Không có,Nguyễn Du,Hai Bà Trưng,30.0,1.2,2.45452528837622,1.933083511777302,1.0904900000000017,4,66,72,221
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,127.0,3.18,3.0,2.0,3.1490675000000024,12,129,236,391
Moonlight 1 - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,81.0,3.3,3.0,1.933083511777302,3.3639000000000046,5,0,72,269
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,141.0,3.5,4.0,1.933083511777302,3.501935714285714,12,129,236,391
Hoàng Thành Pearl,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,80.0,3.9,2.0,2.0,3.8579978571428537,11,12,148,179
Masteri West Heights,Không có,Tây Mỗ,Nam Từ Liêm,54.0,2.9,2.0,2.0,2.8832000000000018,11,126,72,263
Moonlight I - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,66.68,2.45,2.0,2.0,2.4421999999999993,5,0,72,270
Masteri West Heights,Không có,Tây Mỗ,Nam Từ Liêm,30.0,1.8,1.0,1.0,1.7722400000000016,11,126,72,263
Sunshine City,Không có,Đông Ngạc,Bắc Từ Liêm,97.0,4.36,3.0,2.0,4.341800000000008,1,155,72,374
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,60.0,1.7,2.0,2.0,1.6498125466561293,3,17,72,475
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,136.0,5.57,3.0,2.0,6.2807099999999965,4,139,33,375
Park Kiara,Lê Trọng Tấn,La Khê,Hà Đông,60.0,3.2,2.0,1.0,3.140779761904759,8,42,93,331
Moonlight 1 - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,66.68,2.433,2.0,2.0,2.438706666666663,5,0,72,269
The Manor,Mễ Trì,Mỹ Đình 1,Nam Từ Liêm,189.0,9.0,3.0,1.933083511777302,8.018216666666667,11,58,115,405
Discovery Complex,Cầu Giấy,Dịch Vọng,Cầu Giấy,93.0,4.6,2.0,1.933083511777302,4.569400000000005,2,18,26,98
N01-T7 Ngoại Giao Đoàn,Không có,Xuân Tảo,Bắc Từ Liêm,104.0,7.49,3.0,1.933083511777302,5.706833333333333,1,143,72,282
Feliz Homes,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,45.0,2.1,1.0,1.0,1.908999999999998,7,27,45,125
Xuân Mai Complex,Tố Hữu,Yên Nghĩa,Hà Đông,62.0,1.7,2.0,2.0,1.7104235533910543,8,146,235,493
Gemek Premium,Lê Trọng Tấn,An Khánh,Hoài Đức,72.0,1.85,2.0,2.0,2.0297499999999973,5,0,93,132
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,127.0,3.1,3.0,1.933083511777302,3.091665476190475,12,129,236,391
Golden Park Tower,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,136.0,7.0,3.0,3.0,6.845726666666663,2,145,175,141
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,71.0,3.1,2.0,2.0,3.128233333333333,11,126,72,418
Hoàng Thành Pearl,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,109.0,5.67,3.0,1.933083511777302,5.435300000000004,11,12,148,179
Moonlight 1 - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,66.44,2.4,2.0,1.933083511777302,2.4188350000000027,5,0,72,269
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,70.0,3.6,2.0,2.0,3.5859000000000036,11,56,283,472
Vinhomes Metropolis - Liễu Giai,Liễu Giai,Ngọc Khánh,Ba Đình,55.0,4.9,1.0,1.933083511777302,4.810386666666662,0,65,85,473
Discovery Complex,Cầu Giấy,Dịch Vọng,Cầu Giấy,101.6,4.2,3.0,2.0,4.453199999999998,2,18,26,98
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76.0,3.3,2.0,1.933083511777302,3.5326795093795096,11,12,54,471
Bắc Hà Fodacon,Trần Phú,Mỗ Lao,Hà Đông,83.0,2.35,2.0,2.0,2.536589999999997,8,57,214,50
Sunshine City,Không có,Đông Ngạc,Bắc Từ Liêm,116.0,5.6,3.0,2.0,5.657492499999998,1,155,72,374
The Sakura - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,80.2,3.35,3.0,1.933083511777302,3.413633333333333,11,126,72,414
Vinhomes Skylake,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,74.0,3.85,2.0,2.0,3.593890000000002,11,58,173,476
Rose Town,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,104.7,2.6,3.0,2.0,2.7329999999999974,7,26,158,347
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,77.9,2.5,2.0,2.0,2.611599052059052,1,76,64,144
6th Element,Nguyễn Văn Huyên,Xuân La,Tây Hồ,83.0,5.2,2.0,2.0,4.673461904761903,16,141,149,20
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,78.3,3.5,3.0,2.0,3.427658333333334,11,126,72,418
Xuân Mai Complex,Tố Hữu,Yên Nghĩa,Hà Đông,50.0,1.47,2.0,1.0,1.5473799999999998,8,146,235,493
Ciputra Hà Nội,Lạc Long Quân,Phú Thượng,Tây Hồ,119.0,4.1,3.0,2.0,4.197300000000001,16,79,107,88
Không có,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,142.0,6.1,4.0,3.0,5.888800000000007,11,59,173,221
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,92.0,5.3,3.0,2.0,5.190976190476197,11,56,283,472
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,86.0,3.5,2.0,1.933083511777302,3.789764285714287,11,12,54,471
The Emerald,Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,85.0,3.45,3.0,2.0,3.7356750000000045,11,58,275,397
An Lạc Green Symphony,Không có,Vân Canh,Hoài Đức,76.0,2.6,2.0,2.0,2.626874999999997,5,133,72,30
Mulberry Lane,Không có,Mỗ Lao,Hà Đông,137.0,4.6,3.0,2.0,4.942883333333339,8,57,72,271
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,78.0,3.3,2.0,2.0,3.3135000000000048,11,126,72,418
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,90.0,4.3,3.0,2.0,3.9760576190476224,11,126,72,418
Hyundai Hillstate,Tô Hiệu,Hà Cầu,Hà Đông,136.0,4.2,3.0,2.0,4.602942857142854,8,28,231,180
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80.0,4.1,3.0,1.933083511777302,3.9469059523809547,13,102,146,135
The Tonkin - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,32.0,1.7,1.0,1.0,1.5304099999999996,11,126,72,418
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,43.0,1.33,1.0,1.0,1.4166692857142857,3,17,72,475
Udic Westlake,Võ Chí Công,Phú Thượng,Tây Hồ,168.0,6.8,3.0,2.0,6.692800000000003,16,79,240,454
