Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,65,2.5,,,2,
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,118,3.3,Bắc,Nam,3,2
,,,,Nguyễn Du,Hai Bà Trưng,30,1.2,,,,
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,127,3.18,,,3,2
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,81,3.3,,Đông - Nam,3,
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,141,3.5,Đông - Bắc,,4,
Hoàng Thành Pearl,,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,80,3.9,,,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,54,2.9,Tây - Bắc,Đông - Nam,2,2
Moonlight I - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66.68,2.45,Đông - Nam,Tây - Bắc,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,30,1.8,Tây - Bắc,Đông - Nam,1,1
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,97,4.36,,,3,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.7,,,2,2
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,136,5.57,,,3,2
Park Kiara,,,Lê Trọng Tấn,La Khê,Hà Đông,60,3.2,,,2,1
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66.68,2.433,,,2,2
The Manor,,,Mễ Trì,Mỹ Đình 1,Nam Từ Liêm,189,9,,,3,
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,93,4.6,,,2,
N01-T7 Ngoại Giao Đoàn,,,,Xuân Tảo,Bắc Từ Liêm,104,7.49,Đông,,3,
Feliz Homes,,,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,45,2.1,Nam,Nam,1,1
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,62,1.7,Tây - Nam,Đông - Bắc,2,2
Gemek Premium,,,Lê Trọng Tấn,An Khánh,Hoài Đức,72,1.85,Tây - Bắc,Đông - Nam,2,2
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,127,3.1,,,3,
Golden Park Tower,2,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,136,7,Đông - Nam,Tây - Bắc,3,3
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,71,3.1,Đông - Bắc,Tây - Nam,2,2
Hoàng Thành Pearl,,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,109,5.67,,,3,
Moonlight 1 - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66.44,2.4,,,2,
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,70,3.6,Tây - Nam,Đông - Bắc,2,2
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,55,4.9,,,1,
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,101.6,4.2,Tây - Bắc,Đông - Nam,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76,3.3,,,2,
Bắc Hà Fodacon,,,Trần Phú,Mỗ Lao,Hà Đông,83,2.35,,,2,2
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,116,5.6,,,3,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,80.2,3.35,Tây - Bắc,Đông - Nam,3,
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,74,3.85,Đông - Bắc,Tây - Nam,2,2
Rose Town,79,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,104.7,2.6,,,3,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,77.9,2.5,,,2,2
6th Element,,,Nguyễn Văn Huyên,Xuân La,Tây Hồ,83,5.2,Nam,Bắc,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,78.3,3.5,,Đông - Nam,3,2
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,50,1.47,Đông - Bắc,Tây - Nam,2,1
Ciputra Hà Nội,,,Lạc Long Quân,Phú Thượng,Tây Hồ,119,4.1,Đông,Tây - Bắc,3,2
,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,142,6.1,,,4,3
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,92,5.3,Tây - Bắc,Đông - Nam,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,86,3.5,,,2,
The Emerald,,,Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,85,3.45,,,3,2
An Lạc Green Symphony,,,,Vân Canh,Hoài Đức,76,2.6,Bắc,Đông - Nam,2,2
Mulberry Lane,,,,Mỗ Lao,Hà Đông,137,4.6,Tây - Bắc,Đông - Nam,3,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,78,3.3,Đông - Nam,Tây - Bắc,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,90,4.3,Đông - Bắc,Tây - Nam,3,2
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,136,4.2,Đông - Nam,Đông - Bắc,3,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,80,4.1,Đông - Nam,Tây - Bắc,3,
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,32,1.7,Đông - Bắc,Tây - Nam,1,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,43,1.33,Tây - Bắc,Đông - Nam,1,1
Udic Westlake,,,Võ Chí Công,Phú Thượng,Tây Hồ,168,6.8,Đông - Nam,Nam,3,2
Park View City,,,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,179,9.55,Tây,Đông - Nam,4,2
N05 Trần Duy Hưng,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,159,6.84,,,3,3
Riverside Garden,,,Vũ Tông Phan,Khương Đình,Thanh Xuân,90,4.05,Bắc,Nam,3,2
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,114,6.38,,Tây - Nam,2,2
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,100,3.8,,,3,2
Sunshine Center,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,103,5.6,,,3,2
